location_id,city,state,lat,lng
5478,Tama,IA,41.9627392,-92.576753
5479,Clive,IA,41.6060873,-93.77235999999999
5480,Fairfield,IA,41.00761139999999,-91.9636914
5481,Sherrill,IA,42.6038868,-90.78457159999999
5482,Sioiux City,IA,42.4999942,-96.40030689999999
5483,Floyd,IA,43.1277502,-92.7363031
5484,Ruthven,IA,43.1291322,-94.89915309999999
5485,Woodward,IA,41.857276,-93.9222218
5486,Belle Plaine,IA,41.8955529,-92.27574039999999
5487,De Soto,IA,41.5315745,-94.0077785
5488,Audubon,IA,41.7180421,-94.93248679999999
5490,Merrill,IA,42.7197133,-96.2486357
5491,Bonaparte,IA,40.6980874,-91.8032228
5492,Campo,IA,46.5136916,8.5281542
5493,Lamoni,IA,40.622777,-93.9341158
5494,Fort Madison,IA,40.6297634,-91.31453499999999
5495,Saint Charles,IA,41.2883257,-93.8093887
5496,Walnut,IA,41.47748989999999,-95.2219405
5497,Shenandoah,IA,40.7667389,-95.3761506
5499,Ventura,IA,43.1291257,-93.4779849
5500,Algona,IA,43.0699663,-94.233019
5501,Dow City,IA,41.9288774,-95.4938899
5502,Graettinger,IA,43.237733,-94.751303
5503,Indianola,IA,41.3580484,-93.5574376
5504,Langdon,IA,43.2157984,-95.08804889999999
5505,New Hampton,IA,43.0592724,-92.317864
5506,Red Oak,IA,41.0170937,-95.2214477
5507,Hancock County,IA,43.0387322,-93.66232389999999
5508,Solon,IA,41.8072344,-91.4940604
5509,Atlantic,IA,41.4036007,-95.0138776
5510,Country Side,IA,41.715371,-93.18611399999999
5511,Mediapolis,IA,41.0080904,-91.1640369
5512,Smithland,IA,42.229157,-95.9308434
5513,Webb,IA,42.9485835,-95.0119338
5514,Waukon,IA,43.2694208,-91.47569500000002
5515,Cascade,IA,42.2986159,-91.01486179999999
5516,Rockwell City,IA,42.3952576,-94.63386709999999
5517,Correctionville,IA,42.4749887,-95.78556499999999
5518,Albia,IA,41.0300078,-92.811307
5519,Monticello,IA,42.23833510000001,-91.18709369999999
5521,Otley,IA,41.4638637,-93.0345303
5522,Atlantic and Audubon,IA,41.7246447,-94.9415607
5523,Adair,IA,41.50043,-94.6433504
5524,Hartley,IA,43.1802719,-95.4770511
5525,Stratford,IA,42.27136549999999,-93.92717209999999
5526,Spirit Lake,IA,43.4226192,-95.1022313
5527,La Motte,IA,42.2958455,-90.6209631
5528,Harpers Ferry,IA,43.2005358,-91.1531852
5529,Manilla,IA,41.8896933,-95.233605
5530,Osceloa,IA,41.0342618,-93.766759
5531,Norwalk,IA,41.47554600000001,-93.6788304
5532,Glidden,IA,42.0569297,-94.72887000000001
5533,Wall Lake,IA,42.2710952,-95.093047
5534,Various counties,IA,41.59464800000001,-93.78072999999999
5535,Pocahontas,IA,42.7355299,-94.66914670000001
5537,Sioux city,IA,42.4999942,-96.40030689999999
5538,Waukee/Clive,IA,41.6153433,-93.8276132
5539,Brighton,IA,41.1747394,-91.81961489999999
5540,Coalville,IA,42.4452485,-94.1257916
5541,Malvern,IA,41.00629199999999,-95.58514559999999
5542,Sutherland,IA,42.9741434,-95.4975058
5544,Columbus Junction,IA,41.2786364,-91.3598775
5545,Manly,IA,43.2907924,-93.2032593
5546,Woodbine,IA,41.73400729999999,-95.7074104
5547,Elkader,IA,42.8538739,-91.4054159
5548,Titonka,IA,43.236906,-94.04134429999999
5550,Wallingford,IA,43.3198193,-94.794901
5551,Truro,IA,41.2097152,-93.84661160000002
5552,Preston,IA,42.0502844,-90.3960275
5554,Granville,IA,42.9855402,-95.8736256
5555,Onawa,IA,42.0266548,-96.0972376
5556,Ryan,IA,42.3513791,-91.48154559999999
5557,Mapleton,IA,42.1658227,-95.7930621
5558,Glenwood,IA,41.0469437,-95.7425056
5560,Anamosa,IA,42.1083371,-91.28515940000001
5561,Swaledale,IA,42.9771521,-93.314887
5563,Johnston,IA,41.6709834,-93.7130493
5564,Mt Ayr,IA,40.7147147,-94.235232
5565,Iowa,IA,41.8780025,-93.097702
5566,Rolfe,IA,42.8127501,-94.5269204
5567,Missouri Valley,IA,41.5563713,-95.8877767
5569,Sioux Center,IA,43.0797991,-96.1756935
5570,Carlisle,IA,41.4986013,-93.4835466
5571,Milford,IA,43.3246863,-95.149996
5574,Lake Mills,IA,43.419329,-93.5325269
5575,Grimes,IA,41.6883646,-93.7925199
5576,Arnolds Park,IA,43.3727408,-95.1238841
5577,Avoca,IA,41.4766571,-95.33805489999999
5578,Dayton,IA,42.2613645,-94.06856719999999
5579,Lynnville,IA,41.5774965,-92.78352609999999
5581,Victor,IA,41.7316675,-92.2979615
5582,Fremont,IA,41.2125116,-92.4354648
5583,Clarinda,IA,40.7419352,-95.038313
5587,Emmetsburg,IA,43.1127427,-94.68303569999999
5589,Bettendorf/Davenport,IA,41.52334,-90.506489
5591,Humeston,IA,40.858892,-93.4974371
5593,Clearfield,IA,40.8008223,-94.4757947
5594,Shanadoah,IA,40.7667389,-95.3761506
5595,Panora,IA,41.6916535,-94.3630215
5596,Mechanicsville,IA,41.90279090000001,-91.2546067
5598,Okoboji,IA,43.3863521,-95.1483293
5599,Denison,IA,42.024988,-95.3588867
5601,Trenton,IA,41.0616912,-91.63738599999999
5602,Rock Valley,IA,43.2052594,-96.2950263
5603,Adair County,IA,41.2741733,-94.479976
5604,Lu Verne,IA,42.90823229999999,-94.0845981
5605,Earlham,IA,41.4915674,-94.12298340000001
5606,Boyden,IA,43.1910906,-96.00585300000002
5608,Clarion,IA,42.7316387,-93.732992
5609,Decatur City,IA,40.7419443,-93.83383459999999
5610,Decatur,IA,40.7419443,-93.83383459999999
5611,Osage,IA,43.2841382,-92.8190838
5612,Shellsburg,IA,42.0945385,-91.8693231
